deviceID,speed_zone,mean_kpl,median_kpl,count
3.0,0-10,2.04,2.0458,9646
3.0,10-20,4.64,4.6258,16568
3.0,20-30,7.09,7.3059,13843
3.0,30-40,9.04,8.7604,11753
3.0,40-50,10.38,9.4338,9495
3.0,50-60,11.69,10.54725,8316
3.0,60-70,11.83,11.2511,7232
3.0,70-80,12.26,11.437,8225
3.0,80-90,11.95,11.598,8881
3.0,90-100,11.67,11.6098,6297
3.0,100-120,10.64,10.5665,2373
5.0,0-10,2.4,2.1695,17312
5.0,10-20,4.97,4.7405,26586
5.0,20-30,6.21,5.4483,30178
5.0,30-40,7.0,6.8481,35221
5.0,40-50,7.78,7.3504,26252
5.0,50-60,8.88,9.3038,12516
5.0,60-70,8.54,8.7853,5034
5.0,70-80,8.09,7.58685,2514
5.0,80-90,8.32,7.647600000000001,2452
5.0,90-100,8.86,8.1135,4059
5.0,100-120,8.5,7.9797,8066
5.0,120+,7.33,6.777,125
6.0,0-10,1.13,1.1227,1516
6.0,10-20,2.29,2.2489,1777
6.0,20-30,3.04,2.5888999999999998,1560
6.0,30-40,3.8,3.5202,1711
6.0,40-50,4.38,3.8775,1669
6.0,50-60,4.63,4.361750000000001,1506
6.0,60-70,4.89,4.7575,1363
6.0,70-80,5.03,5.1283,618
6.0,80-90,4.76,4.3984000000000005,86
8.0,0-10,1.94,1.8591,3741
8.0,10-20,3.46,3.0789,5534
8.0,20-30,4.45,4.296,6102
8.0,30-40,5.72,5.2683,5556
8.0,40-50,6.95,6.5191,3955
8.0,50-60,7.57,6.6186,2088
8.0,60-70,8.97,8.4567,1065
8.0,70-80,9.71,8.5048,565
8.0,80-90,9.5,7.9697,255
8.0,90-100,10.31,9.1463,248
8.0,100-120,8.18,7.52785,496
8.0,120+,7.17,6.4561,62
9.0,0-10,6.69,6.1236,27484
9.0,10-20,12.25,11.3416,49591
9.0,20-30,11.77,10.0299,36426
9.0,30-40,13.26,12.274,34603
9.0,40-50,14.63,14.2244,21740
9.0,50-60,15.37,15.105,11135
9.0,60-70,16.68,16.6227,9031
9.0,70-80,17.29,17.2492,4481
9.0,80-90,17.22,16.9697,2192
9.0,90-100,17.87,17.710100000000004,1974
9.0,100-120,15.8,15.1125,1182
9.0,120+,14.23,12.9131,296
10.0,0-10,2.33,2.3571,51898
10.0,10-20,4.92,4.9122,94162
10.0,20-30,7.14,7.2757,78583
10.0,30-40,9.08,8.987,62238
10.0,40-50,10.9,10.4623,55438
10.0,50-60,12.24,11.6823,50506
10.0,60-70,13.84,14.1085,54439
10.0,70-80,14.16,14.8504,39376
10.0,80-90,13.35,13.9405,16036
10.0,90-100,11.82,12.4044,4357
10.0,100-120,9.76,9.4858,749
12.0,0-10,2.06,2.0773,46789
12.0,10-20,4.28,4.1688,118663
12.0,20-30,6.03,6.4325,113492
12.0,30-40,6.87,6.3619,100391
12.0,40-50,8.26,8.5221,40318
12.0,50-60,8.53,8.2599,18754
12.0,60-70,9.35,9.5337,12085
12.0,70-80,9.63,9.6065,11207
12.0,80-90,9.6,9.5491,8386
12.0,90-100,9.26,9.046,7174
12.0,100-120,8.62,8.3439,5139
12.0,120+,7.36,6.5639,91
16.0,0-10,2.01,2.0275,10383
16.0,10-20,4.62,4.5933,17086
16.0,20-30,7.39,7.5435,18987
16.0,30-40,9.15,9.0258,11924
16.0,40-50,10.43,9.8282,6000
16.0,50-60,11.48,10.658,4883
16.0,60-70,11.75,10.6852,3801
16.0,70-80,11.48,11.0156,2450
16.0,80-90,11.28,10.9268,1701
16.0,90-100,11.21,10.421,741
16.0,100-120,11.03,10.05235,134
